Time,UAV0_X,UAV0_Y,UAV0_V,UAV0_Heading,UAV1_X,UAV1_Y,UAV1_V,UAV1_Heading
6.2,10.3877,6.45152,2.00093,1.63742,-9.61323,6.52187,2.00082,1.62521
6.3,10.4866,6.40589,1.97145,1.63803,-9.51428,6.47801,1.97142,1.6258
6.4,10.6719,6.37797,1.9957,1.6385,-9.32901,6.45238,1.99564,1.62626
6.5,10.8654,6.31147,1.99347,1.63902,-9.13613,6.38801,1.99316,1.62677
6.6,11.1359,6.28474,2.01593,1.63931,-8.86594,6.36406,2.01576,1.62706
6.7,11.3831,6.30159,2.01372,1.63945,-8.61806,6.38386,2.01387,1.6272
6.8,11.498,6.26148,1.97759,1.63973,-8.50309,6.34561,1.97758,1.62749
6.9,11.6847,6.26981,1.99944,1.63986,-8.31571,6.35648,1.99961,1.62761
7,11.9806,6.24361,2.02088,1.64007,-8.02025,6.33323,2.02068,1.62782
7.1,12.1603,6.19284,1.99216,1.64028,-7.84089,6.28461,1.99197,1.62803
7.2,12.4185,6.18515,2.01366,1.64036,-7.58249,6.27979,2.01364,1.62812
7.3,12.6399,6.16646,2.00412,1.64046,-7.36109,6.26368,2.00408,1.62823
7.4,12.8341,6.17173,2.00016,1.64052,-7.16621,6.2715,2.00032,1.62829
7.5,13.0299,6.17106,2.00014,1.6406,-6.9699,6.27336,2.00024,1.62837
7.6,13.2383,6.13918,2.00064,1.64072,-6.76167,6.24388,2.00053,1.62849
7.7,13.4341,6.1257,1.99925,1.64079,-6.56563,6.23284,1.99927,1.62856
7.8,13.7171,6.11658,2.01749,1.64085,-6.28253,6.22675,2.01743,1.62862
7.9,13.9197,6.09775,1.99999,1.64093,-6.07978,6.21038,1.99997,1.62869
8,14.1696,6.08584,2.01022,1.64098,-5.82982,6.20126,2.01019,1.62875
8.1,14.3378,6.06415,1.99316,1.64105,-5.66144,6.18176,1.99316,1.62881
8.2,14.6067,6.05373,2.01391,1.64109,-5.39247,6.17427,2.01387,1.62885
8.3,14.7703,6.04258,1.99294,1.64113,-5.22851,6.16535,1.99302,1.6289
8.4,15.0587,6.05238,2.0184,1.64117,-4.93963,6.17832,2.01847,1.62893
8.5,15.3153,6.02938,2.00998,1.64124,-4.68318,6.15811,2.00988,1.629
8.6,15.5583,6.03568,2.00898,1.6413,-4.4396,6.16725,2.00907,1.62904
8.7,15.744,6.02017,1.99721,1.64139,-4.25372,6.15406,1.99723,1.62912
8.8,15.9291,5.99796,1.99704,1.64146,-4.06854,6.13415,1.99701,1.62918
8.9,16.1389,5.9781,2.00163,1.64152,-3.85877,6.11676,2.00159,1.62923
9,16.3712,5.95941,2.00563,1.64156,-3.62639,6.10073,2.00558,1.62927
9.1,16.6407,5.93658,2.01187,1.6416,-3.35715,6.08079,2.01176,1.62931
9.2,16.8378,5.91868,1.99922,1.64163,-3.1599,6.06529,1.99921,1.62933
9.3,17.0612,5.89618,2.00379,1.64165,-2.93654,6.04536,2.00373,1.62935
9.4,17.2351,5.87699,1.99535,1.64167,-2.76252,6.0284,1.99535,1.62936
9.5,17.379,5.84527,1.98999,1.64167,-2.61863,5.99861,1.98994,1.62937
9.6,17.5872,5.81564,2.00102,1.64165,-2.41064,5.97142,2.00093,1.62935
9.7,17.7223,5.79563,1.98909,1.64161,-2.27533,5.95334,1.98912,1.62932
